273K: 1=dg3375-07 2=dg3375-05 3=dg3375-06 4=ep855-08 5=ep855-09
# species       # reactions     # init conditions 
4               3               5
# samples       tmin    tmax    iobs 	prt skip t 
100000		0.0	140  	688	250 
output flag log flag case flag  ipred
3           0        1          0
lsq criteria:	eps	tol	imax
		1d-9	1d-9	80
'T  '   't0 '   '1'	'2E'   'cat'	'cmpx'	
273.0	0.0	0.1785	0.0275	1.48E-4	3.00E-4
0	0	0	0	0	0	
273.0	0.0	0.1965  0.0408  1.19E-4 2.90E-4
0	0	0	0	0	0	
273.0	0.0	0.1729  0.0626  1.32E-4 2.67E-4
0	0	0	0	0	0	
273.0	0.0	0.1531  0.0495  1.14E-4 2.53E-4
0	0	0	0	0	0	
273.0	0.0	0.1591  0.0391  1.38E-4 2.76E-4
0	0	0	0	0	0	
                1	1	1	1	0    these are flags for printing
k name, k, ifit, ktp, ktx, # species, species # (1 line ea. fwd and rev rxns)
'k1 '   370.0     1      0       0       2	1	3	1 + cat <-> 2E
'k-1'     0.0     0      0       0       1	4
'k2 '    15.95    1      0       0       1	4               cmpx <-> 2E + cat
'k-2'     0.0     0      0       0       2	2	3
'k3 '   1.00d-16  0      0       0       1	1               1 <-> 2E 
'k-3'   3.18d-3   1      0       0       1	2	
4       2       14      0.104417139767591       0.001044171397676
4       2       16      0.111183111125942       0.001111831111259
4       2       18      0.117925304428398       0.001179253044284
4       2       20      0.124169730878431       0.001241697308784
4       2       22      0.130178185082455       0.001301781850825
4       2       24      0.136115807272815       0.001361158072728
4       2       26      0.141714343193955       0.00141714343194
4       2       28      0.146995187192675       0.001469951871927
4       2       30      0.152189639433521       0.001521896394335
4       2       32      0.156800770828037       0.00156800770828
4       2       34      0.161202313251839       0.001612023132518
4       2       36      0.16527151877403        0.00165271518774
4       2       38      0.169160061914021       0.00169160061914
4       2       40      0.172612347335961       0.00172612347336
4       2       42      0.175824867577652       0.001758248675777
4       2       44      0.178724090326822       0.001787240903268
4       2       46      0.181245913022588       0.001812459130226
4       2       48      0.183671652121191       0.001836716521212
4       2       50      0.18555860199946        0.001855586019995
4       2       52      0.187596628067316       0.001875966280673
4       2       54      0.189007328058112       0.001890073280581
4       2       56      0.190445461967674       0.001904454619677
4       2       58      0.191471009853147       0.001914710098531
4       2       60      0.192285269654336       0.001922852696543
4       2       62      0.193165612648624       0.001931656126486
4       2       64      0.193722619574129       0.001937226195741
4       2       66      0.194288484916454       0.001942884849165
4       2       68      0.194573483503422       0.001945734835034
4       2       70      0.195128289482448       0.001951282894824
4       2       72      0.195350193200972       0.00195350193201
4       2       74      0.195611248335704       0.001956112483357
4       2       76      0.195850657027558       0.001958506570276
4       2       78      0.195911522668731       0.001959115226687
4       2       80      0.19604565856048        0.001960456585605
4       2       82      0.196220791926884       0.001962207919269
4       2       84      0.196372396588906       0.001963723965889
4       2       86      0.196343048984139       0.001963430489841
4       2       88      0.196406236394008       0.00196406236394
4       2       90      0.196517956826483       0.001965179568265
4       2       92      0.196354016154442       0.001963540161544
4       3       2       0.00011124578596        4E-06
4       3       4       0.000112066755735       4E-06
4       3       6       0.000106679017363       4E-06
4       3       8       0.000111782324932       4E-06
4       3       10      0.000122156660244       4E-06
4       3       12      0.000126905805195       4E-06
4       3       14      0.000114673450234       4E-06
4       3       16      0.000124307006775       4E-06
4       3       18      0.00013455830105        4E-06
4       3       20      0.000135161722292       4E-06
4       3       22      0.000140014905867       4E-06
4       3       24      0.000151886005858       4E-06
4       3       26      0.000169032325593       4E-06
4       3       28      0.000160858260083       4E-06
4       3       30      0.000155151113706       4E-06
4       3       32      0.000167287704097       4E-06
4       3       34      0.000180126986646       4E-06
4       3       36      0.000165042137595       4E-06
4       3       38      0.000196945422491       4E-06
4       3       40      0.000185971120182       4E-06
4       3       42      0.000188550724594       4E-06
4       3       44      0.000188338630174       4E-06
4       3       46      0.000199010327446       4E-06
4       3       48      0.000223785349486       4E-06
4       3       50      0.00022374031366        4E-06
4       3       52      0.00022290477755        4E-06
4       3       54      0.000232352176827       4E-06
4       3       56      0.000241364934207       4E-06
4       3       58      0.000226490744633       4E-06
4       3       60      0.000231865135982       4E-06
4       3       62      0.000255076472371       4E-06
4       3       64      0.000231490578324       4E-06
4       3       66      0.000229148782044       4E-06
4       3       68      0.000233481140935       4E-06
4       3       70      0.000245398647282       4E-06
4       3       72      0.000229168638133       4E-06
4       3       74      0.00025760372303        4E-06
4       3       76      0.000243832412078       4E-06
4       3       78      0.000253959698425       4E-06
4       3       80      0.000242757079948       4E-06
4       3       82      0.000230249221407       4E-06
4       3       84      0.000252851734679       4E-06
4       3       86      0.000246167897341       4E-06
4       3       88      0.000251474156847       4E-06
4       3       90      0.000243723594642       4E-06
4       3       92      0.000256378671875       4E-06
4       4       2       0.000240690984242       4E-06
4       4       4       0.000257620263581       4E-06
4       4       6       0.000234354208206       4E-06
4       4       8       0.000235221298989       4E-06
4       4       10      0.000224799913815       4E-06
4       4       12      0.000220486012283       4E-06
4       4       14      0.00021096979578        4E-06
4       4       16      0.00021790781835        4E-06
4       4       18      0.000218427345626       4E-06
4       4       20      0.000212515425623       4E-06
4       4       22      0.000205520123465       4E-06
4       4       24      0.000210593322737       4E-06
4       4       26      0.000200903648675       4E-06
4       4       28      0.000173839937398       4E-06
4       4       30      0.000181489993196       4E-06
4       4       32      0.000180341513418       4E-06
4       4       34      0.000195027682199       4E-06
4       4       36      0.00018088403303        4E-06
4       4       38      0.00018380462392        4E-06
4       4       40      0.000161743040789       4E-06
4       4       42      0.000143041333205       4E-06
4       4       44      0.000167480676869       4E-06
4       4       46      0.000132690988237       4E-06
4       4       48      0.000140985312219       4E-06
4       4       50      0.000122796695347       4E-06
4       4       52      0.000133589988988       4E-06
4       4       54      0.000138897771584       4E-06
4       4       56      0.000146361520401       4E-06
4       4       58      0.000114146297848       4E-06
4       4       60      0.000123614008934       4E-06
4       4       62      0.0001151715755 4E-06
4       4       64      0.000120128990837       4E-06
4       4       66      0.000109562427983       4E-06
4       4       68      0.000114384951993       4E-06
4       4       70      0.000114151385359       4E-06
4       4       72      0.000104600381377       4E-06
4       4       74      9.80619997614154E-05    4E-06
4       4       76      9.50728481889439E-05    4E-06
4       4       78      0.000109072867663       4E-06
4       4       80      0.000114645232137       4E-06
4       4       82      8.30428245610863E-05    4E-06
4       4       84      9.52719775992092E-05    4E-06
4       4       86      9.68264266306956E-05    4E-06
4       4       88      7.5048953469901E-05     4E-06
4       4       90      8.54376921095408E-05    4E-06
4       4       92      0.000127444779939       4E-06
5       1       2       0.148690557164026       0.00148690557164
5       1       4       0.139043494855419       0.001390434948554
5       1       6       0.130139464221606       0.001301394642216
5       1       8       0.121311533543565       0.001213115335436
5       1       10      0.112799644680162       0.001127996446802
5       1       12      0.10474079372447        0.001047407937245
5       1       14      0.097005940439612       0.000970059404396
5       1       16      0.089486175030618       0.000894861750306
5       1       18      0.082291729965273       0.000822917299653
5       1       20      0.075500837062943       0.000755008370629
5       1       22      0.069041372691938       0.000690413726919
5       1       24      0.062680519566766       0.000626805195668
5       1       26      0.05657589809524        0.000565758980952
5       1       28      0.051303470227869       0.000513034702279
5       1       30      0.04601535588908        0.000460153558891
5       1       32      0.041325946777133       0.000413259467771
5       1       34      0.036912211562926       0.000369122115629
5       1       36      0.032517897567475       0.000325178975675
5       1       38      0.028852959501808       0.000288529595018
5       1       40      0.025336450392923       0.000253364503929
5       1       42      0.02233642341334        0.000223364234133
5       1       44      0.019577829890605       0.000195778298906
5       1       46      0.017340693282175       0.000173406932822
5       1       48      0.015022405827634       0.000150224058276
5       1       50      0.013196351220486       0.000131963512205
5       1       52      0.011662143906353       0.000116621439064
5       1       54      0.010420225409181       0.000104202254092
5       1       56      0.00920200681357        9.20200681356993E-05
5       1       58      0.008307245007113       8.30724500711283E-05
5       1       60      0.007795163320319       7.79516332031922E-05
5       1       62      0.006911398451592       6.91139845159166E-05
5       1       64      0.006766252846439       6.76625284643887E-05
5       1       66      0.006272601509488       6.27260150948794E-05
5       1       68      0.005963441562292       5.96344156229197E-05
